Date/Time,Electricity:Facility [J](RunPeriod),ElectricityPurchased:Facility [J](RunPeriod),ElectricitySurplusSold:Facility [J](RunPeriod),ElectricityNet:Facility [J](RunPeriod),Source:Facility [J](RunPeriod),CO2:Facility [kg](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:Plant [J](RunPeriod),Electricity:HVAC [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),Heating:Electricity [J](RunPeriod),Gas:Facility [J](RunPeriod),InteriorEquipment:Gas [J](RunPeriod),Heating:Gas [J](RunPeriod),Gas:Plant [J](RunPeriod),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
January,,,,,,,,,,,,,,,,,,,,25299148742.9514,24298081806.3953,9910.64918757992,3.96997250498919,18.9292799074485,16.8904296173071,0.2288575328232,47.3665183327301,0.0,0.5271823103249,0.0,0.0,0.321216319205372,1.453589868420139E-004,7.079858435039664E-004,10902.8098260082,0.0,0.0,4184.88881733068 
February,,,,,,,,,,,,,,,,,,,,23621633879.7604,14056681005.4819,8803.86537709994,3.3623873502583,17.6649849168232,15.3622616115463,0.204534558652532,44.2234658134214,0.0,0.461243697978727,0.0,0.0,0.277392386659067,1.347626850395788E-004,6.592030622339189E-004,10179.8754016327,0.0,0.0,3751.77360479045 
March,,,,,,,,,,,,,,,,,,,,27299904503.9737,10755847230.0314,9888.75700969268,3.66692697864951,20.4098898434334,17.4947521563529,0.23056483142174,51.1083037984972,0.0,0.513358830879929,0.0,0.0,0.306258788165877,1.551380605404416E-004,7.606823425804001E-004,11765.046725453,0.0,0.0,4236.99150884034 
April,,,,,,,,,,,,,,,,,,,,30292552125.1833,15295152014.2495,11147.8424811178,4.20297324741529,22.6508078090724,19.5714866225632,0.259401469596084,56.7117566790845,0.0,0.581697077188107,0.0,0.0,0.348601452912816,1.725174633074905E-004,8.447849654166515E-004,13054.74497664,0.0,0.0,4762.04968162173 
May,,,,,,,,,,,,,,,,,,,,33846614348.9595,12330890119.7445,12207.8274982784,4.50621097756442,25.3032609850697,21.6426145505865,0.284791363520384,63.3641667398059,0.0,0.6328605190583,0.0,0.0,0.37708062342844,1.922297871170736E-004,9.428854262096288E-004,14586.3879947248,0.0,0.0,5234.94199730968 
June,,,,,,,,,,,,,,,,,,,,33396887869.6825,10338175569.9012,11950.3355322627,4.37336410658342,24.9651130823312,21.2685393369728,0.279068681921915,62.5217447230999,0.0,0.617885930349739,0.0,0.0,0.367296925629516,1.894725881853983E-004,9.299675764161948E-004,14392.5758500122,0.0,0.0,5132.40479324322 
July,,,,,,,,,,,,,,,,,,,,35810423285.7731,7969758614.79235,12651.6460605796,4.56510957042291,26.7659962232615,22.6582149508876,0.295934022269874,67.0392482862776,0.0,0.65135469436671,0.0,0.0,0.385709283266643,2.028196201147148E-004,9.965111174637528E-004,15432.7024533747,0.0,0.0,5447.133195213 
August,,,,,,,,,,,,,,,,,,,,37589097927.598,8751241159.25723,13300.1344262577,4.80724153646751,28.0958502871301,23.8018704373841,0.311041593791576,70.3691366530953,0.0,0.685091368722669,0.0,0.0,0.405873647307893,2.129363109824003E-004,1.046089154795617E-003,16199.2322508471,0.0,0.0,5724.64185330939 
September,,,,,,,,,,,,,,,,,,,,36985091899.3622,9169174585.60276,13115.5198979222,4.75228196522993,27.6449799922642,23.445826137682,0.306635642828825,69.2385493743962,0.0,0.67608808489223,0.0,0.0,0.400809632122932,2.095767115995030E-004,1.029398887151035E-003,15938.9324705451,0.0,0.0,5642.72683794275 
October,,,,,,,,,,,,,,,,,,,,29600825585.1241,7370597163.97257,10498.6102146801,3.80474474123821,22.1255497101989,18.7662629249202,0.245448260791194,55.4147208153936,0.0,0.541218800743985,0.0,0.0,0.320869671310389,1.677371917597154E-004,8.238808719506971E-004,12756.6415505329,0.0,0.0,4516.70580160301 
November,,,,,,,,,,,,,,,,,,,,25413501068.518,12857265334.472,9353.65683903877,3.52704611357164,19.0025966996516,16.4204290151526,0.217648287832608,47.577519747376,0.0,0.488098366132298,0.0,0.0,0.292521038411174,1.447338889774997E-004,7.087256571996843E-004,10952.090601084,0.0,0.0,3995.51506551573 
December,364388769091.079,364388769091.079,0.0,364388769091.079,2751975837731.,132514.177938981,180887793004.768,495883194.609434,183005092891.795,135956806502.389,44930986502.393,115920503236.736,67084589654.9669,495883194.609434,0.0,153599530528.047,5010881186.87877,148588649341.129,148588649341.129,25233087854.2633,20406665924.1061,9685.3334144479,3.80687018988743,18.8757943105856,16.665262561133,0.224202295173584,47.2418094496494,0.0,0.512063328453196,0.0,0.0,0.310386563296864,1.445545223277675E-004,7.053218004332840E-004,10874.3405160871,0.0,0.0,4104.93260091697 
