Time,ZN_1_FLR_1_SEC_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_1_SEC_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_2_SEC_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_2_SEC_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_2_SEC_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_2_SEC_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_3_SEC_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_3_SEC_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_3_SEC_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_3_SEC_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_1_SEC_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_2_SEC_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_2_SEC_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_2_SEC_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_2_SEC_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_3_SEC_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_3_SEC_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_3_SEC_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_3_SEC_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_1_SEC_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_2_SEC_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_2_SEC_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_2_SEC_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_2_SEC_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_3_SEC_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_3_SEC_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_3_SEC_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_3_SEC_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_1_SEC_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_2_SEC_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_2_SEC_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_2_SEC_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_2_SEC_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_3_SEC_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_3_SEC_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_3_SEC_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_3_SEC_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_1_SEC_5:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_2_SEC_5:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_2_SEC_5:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_2_SEC_5:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_2_SEC_5:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_3_SEC_5:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_3_SEC_5:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_3_SEC_5:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_3_SEC_5:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.664453E+02,0.000000E+00,9.679875E-03,0.000000E+00,1.624863E+03,0.000000E+00,5.908189E-02,0.000000E+00,1.130165E+03,0.000000E+00,4.105661E-02,0.000000E+00,1.913556E+02,0.000000E+00,6.956548E-03,0.000000E+00,9.294981E+02,0.000000E+00,3.377768E-02,0.000000E+00,5.340640E+02,0.000000E+00,1.939963E-02,0.000000E+00,2.411705E+02,0.000000E+00,8.762506E-03,0.000000E+00,1.585043E+03,0.000000E+00,5.763484E-02,0.000000E+00,1.117869E+03,0.000000E+00,4.061093E-02,0.000000E+00,1.850631E+02,0.000000E+00,6.727387E-03,0.000000E+00,9.361998E+02,0.000000E+00,3.402056E-02,0.000000E+00,5.423866E+02,0.000000E+00,1.970461E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
00:30:00,4.739098E+02,0.000000E+00,1.721388E-02,0.000000E+00,2.506707E+03,0.000000E+00,9.110367E-02,0.000000E+00,1.534700E+03,0.000000E+00,5.573681E-02,0.000000E+00,3.127258E+02,0.000000E+00,1.136379E-02,0.000000E+00,1.386309E+03,0.000000E+00,5.036372E-02,0.000000E+00,7.208522E+02,0.000000E+00,2.617505E-02,0.000000E+00,4.399464E+02,0.000000E+00,1.598104E-02,0.000000E+00,2.455354E+03,0.000000E+00,8.923794E-02,0.000000E+00,1.526184E+03,0.000000E+00,5.542829E-02,0.000000E+00,3.045585E+02,0.000000E+00,1.106656E-02,0.000000E+00,1.393834E+03,0.000000E+00,5.063654E-02,0.000000E+00,7.287818E+02,0.000000E+00,2.646298E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
00:45:00,7.102468E+02,0.000000E+00,2.579527E-02,0.000000E+00,3.192633E+03,0.000000E+00,1.159357E-01,0.000000E+00,1.800462E+03,0.000000E+00,6.537384E-02,0.000000E+00,4.272489E+02,0.000000E+00,1.551489E-02,0.000000E+00,1.709815E+03,0.000000E+00,6.208632E-02,0.000000E+00,8.458242E+02,0.000000E+00,3.071059E-02,0.000000E+00,6.742419E+02,0.000000E+00,2.448903E-02,0.000000E+00,3.144837E+03,0.000000E+00,1.142003E-01,0.000000E+00,1.797199E+03,0.000000E+00,6.525560E-02,0.000000E+00,4.194922E+02,0.000000E+00,1.523324E-02,0.000000E+00,1.717054E+03,0.000000E+00,6.234911E-02,0.000000E+00,8.534218E+02,0.000000E+00,3.098640E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:00:00,8.831322E+02,0.000000E+00,3.206971E-02,0.000000E+00,3.687098E+03,0.000000E+00,1.338836E-01,0.000000E+00,2.004549E+03,0.000000E+00,7.277994E-02,0.000000E+00,5.084627E+02,0.000000E+00,1.846297E-02,0.000000E+00,1.943872E+03,0.000000E+00,7.058103E-02,0.000000E+00,9.395720E+02,0.000000E+00,3.411256E-02,0.000000E+00,8.490718E+02,0.000000E+00,3.083308E-02,0.000000E+00,3.642612E+03,0.000000E+00,1.322686E-01,0.000000E+00,2.005678E+03,0.000000E+00,7.282114E-02,0.000000E+00,5.010214E+02,0.000000E+00,1.819281E-02,0.000000E+00,1.950931E+03,0.000000E+00,7.083732E-02,0.000000E+00,9.470674E+02,0.000000E+00,3.438464E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:15:00,1.013838E+03,0.000000E+00,3.681470E-02,0.000000E+00,4.082923E+03,0.000000E+00,1.482508E-01,0.000000E+00,2.176333E+03,0.000000E+00,7.901412E-02,0.000000E+00,5.697054E+02,0.000000E+00,2.068592E-02,0.000000E+00,2.126405E+03,0.000000E+00,7.720581E-02,0.000000E+00,1.016876E+03,0.000000E+00,3.691787E-02,0.000000E+00,9.815314E+02,0.000000E+00,3.564180E-02,0.000000E+00,4.039071E+03,0.000000E+00,1.466589E-01,0.000000E+00,2.184077E+03,0.000000E+00,7.929541E-02,0.000000E+00,5.624385E+02,0.000000E+00,2.042211E-02,0.000000E+00,2.133325E+03,0.000000E+00,7.745701E-02,0.000000E+00,1.024162E+03,0.000000E+00,3.718233E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.186677E+01,0.000000E+00,4.338971E-04,0.000000E+00 
01:30:00,1.119485E+03,0.000000E+00,4.064847E-02,0.000000E+00,4.414273E+03,0.000000E+00,1.602717E-01,0.000000E+00,2.322028E+03,0.000000E+00,8.429755E-02,0.000000E+00,6.183057E+02,0.000000E+00,2.244921E-02,0.000000E+00,2.275257E+03,0.000000E+00,8.260504E-02,0.000000E+00,1.079952E+03,0.000000E+00,3.920517E-02,0.000000E+00,1.087756E+03,0.000000E+00,3.949667E-02,0.000000E+00,4.370107E+03,0.000000E+00,1.586685E-01,0.000000E+00,2.334407E+03,0.000000E+00,8.474737E-02,0.000000E+00,6.111641E+02,0.000000E+00,2.218996E-02,0.000000E+00,2.282063E+03,0.000000E+00,8.285208E-02,0.000000E+00,1.087014E+03,0.000000E+00,3.946150E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.823363E+01,0.000000E+00,1.754757E-03,0.000000E+00 
01:45:00,1.208208E+03,0.000000E+00,4.386754E-02,0.000000E+00,4.701678E+03,0.000000E+00,1.706964E-01,0.000000E+00,2.440426E+03,0.000000E+00,8.858948E-02,0.000000E+00,6.585314E+02,0.000000E+00,2.390841E-02,0.000000E+00,2.402163E+03,0.000000E+00,8.720724E-02,0.000000E+00,1.134059E+03,0.000000E+00,4.116671E-02,0.000000E+00,1.176692E+03,0.000000E+00,4.272353E-02,0.000000E+00,4.656002E+03,0.000000E+00,1.690384E-01,0.000000E+00,2.460131E+03,0.000000E+00,8.930561E-02,0.000000E+00,6.514765E+02,0.000000E+00,2.365233E-02,0.000000E+00,2.408804E+03,0.000000E+00,8.744829E-02,0.000000E+00,1.141189E+03,0.000000E+00,4.142546E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.047726E+02,0.000000E+00,3.807999E-03,0.000000E+00 
02:00:00,1.285118E+03,0.000000E+00,4.665762E-02,0.000000E+00,4.960583E+03,0.000000E+00,1.800862E-01,0.000000E+00,2.543176E+03,0.000000E+00,9.231220E-02,0.000000E+00,6.933737E+02,0.000000E+00,2.517217E-02,0.000000E+00,2.507921E+03,0.000000E+00,9.104136E-02,0.000000E+00,1.184451E+03,0.000000E+00,4.299380E-02,0.000000E+00,1.253391E+03,0.000000E+00,4.550603E-02,0.000000E+00,4.911813E+03,0.000000E+00,1.783159E-01,0.000000E+00,2.567024E+03,0.000000E+00,9.317993E-02,0.000000E+00,6.864193E+02,0.000000E+00,2.491976E-02,0.000000E+00,2.514636E+03,0.000000E+00,9.128505E-02,0.000000E+00,1.191637E+03,0.000000E+00,4.325464E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.771174E+02,0.000000E+00,6.434967E-03,0.000000E+00 
02:15:00,1.354567E+03,0.000000E+00,4.917669E-02,0.000000E+00,5.192823E+03,0.000000E+00,1.885072E-01,0.000000E+00,2.634598E+03,0.000000E+00,9.562472E-02,0.000000E+00,7.234295E+02,0.000000E+00,2.626211E-02,0.000000E+00,2.602006E+03,0.000000E+00,9.445103E-02,0.000000E+00,1.230410E+03,0.000000E+00,4.466052E-02,0.000000E+00,1.321932E+03,0.000000E+00,4.799217E-02,0.000000E+00,5.142479E+03,0.000000E+00,1.866797E-01,0.000000E+00,2.655648E+03,0.000000E+00,9.639038E-02,0.000000E+00,7.165671E+02,0.000000E+00,2.601305E-02,0.000000E+00,2.608646E+03,0.000000E+00,9.469205E-02,0.000000E+00,1.237794E+03,0.000000E+00,4.492853E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.516399E+02,0.000000E+00,9.137744E-03,0.000000E+00 
02:30:00,1.417404E+03,0.000000E+00,5.145687E-02,0.000000E+00,5.401253E+03,0.000000E+00,1.960688E-01,0.000000E+00,2.718117E+03,0.000000E+00,9.865455E-02,0.000000E+00,7.495571E+02,0.000000E+00,2.721008E-02,0.000000E+00,2.686905E+03,0.000000E+00,9.753075E-02,0.000000E+00,1.273931E+03,0.000000E+00,4.624075E-02,0.000000E+00,1.384617E+03,0.000000E+00,5.026681E-02,0.000000E+00,5.353158E+03,0.000000E+00,1.943232E-01,0.000000E+00,2.735237E+03,0.000000E+00,9.927580E-02,0.000000E+00,7.428001E+02,0.000000E+00,2.696486E-02,0.000000E+00,2.693492E+03,0.000000E+00,9.776990E-02,0.000000E+00,1.281558E+03,0.000000E+00,4.651761E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.134335E+02,0.000000E+00,1.138073E-02,0.000000E+00 
