Date/Time,Environment:Outdoor Dry Bulb [C](TimeStep),ZN001:WALL001:WIN001:Surface Ext Solar Incident[W/m2](TimeStep),ZN001:WALL001:WIN001:Window Solar Absorbed:All Glass Layers [W](TimeStep),ZN001:WALL001:WIN001:Window Transmitted Solar [W](TimeStep),ZN001:WALL001:WIN001:Window Heat Gain [W](TimeStep),ZN001:WALL001:WIN001:Window Heat Loss [W](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Storm Window On/Off Flag [](TimeStep),WEST ZONE:Zone/Sys Sensible Heating Rate [W](TimeStep),WEST ZONE:Zone/Sys Sensible Cooling Rate [W](TimeStep),WEST ZONE:Zone/Sys Air Temperature [C](TimeStep),EAST ZONE:Zone/Sys Sensible Heating Rate [W](TimeStep),EAST ZONE:Zone/Sys Sensible Cooling Rate [W](TimeStep),EAST ZONE:Zone/Sys Air Temperature [C](TimeStep),NORTH ZONE:Zone/Sys Sensible Heating Rate [W](TimeStep),NORTH ZONE:Zone/Sys Sensible Cooling Rate [W](TimeStep),NORTH ZONE:Zone/Sys Air Temperature [C](TimeStep) 
 01/21  00:10:00,-17.3,0.0,0.0,0.0,0.0,718.729788974515,2.86316310200607,-11.3282739926854,1.,1014.39143832495,0.0,15.0000000000002,2337.17804608144,0.0,15.,4274.68274241329,0.0,15.0000000000007 
 01/21  00:20:00,-17.3,0.0,0.0,0.0,0.0,716.992972668496,2.81633366743603,-11.3469387753519,1.,1059.01699705202,0.0,15.0000000000001,2369.20486444013,0.0,15.0000000000002,4305.45193227933,0.0,15.0000000000001 
 01/21  00:30:00,-17.3,0.0,0.0,0.0,0.0,715.291695487557,2.77044182823659,-11.3652262250768,1.,1102.59786229445,0.0,15.0000000000003,2400.61237885745,0.0,15.,4335.53448675415,0.0,15.0000000000007 
 01/21  00:40:00,-17.3,0.0,0.0,0.0,0.0,713.624626831174,2.725452974973,-11.3831503266885,1.,1145.05176138634,0.0,15.0000000000003,2431.41145131844,0.0,15.0000000000006,4364.95039276814,0.0,15.0000000000003 
 01/21  00:50:00,-17.3,0.0,0.0,0.0,0.0,711.990341483271,2.68132989704577,-11.4007260748575,1.,1186.16402679514,0.0,15.0000000000002,2461.61309145922,0.0,15.0000000000007,4393.71900122676,0.0,15.0000000000005 
 01/21  01:00:00,-17.3,0.0,0.0,0.0,0.0,710.387037346567,2.63802530066192,-11.4179724081938,1.,1226.31630690732,0.0,15.,2491.22841343458,0.0,15.0000000000003,4421.85903656936,0.0,15.0000000000001 
 01/21  01:10:00,-17.3,0.0,0.0,0.0,0.0,708.814109992441,2.59552317963835,-11.4348961074851,1.,1266.59088176715,0.0,15.0000000000002,2520.26859815238,0.0,15.0000000000005,4449.38860755216,0.0,15.0000000000005 
 01/21  01:20:00,-17.3,0.0,0.0,0.0,0.0,707.273271543983,2.55386929428278,-11.4514795861819,1.,1306.26518021748,0.0,15.,2548.74486061725,0.0,15.,4476.32521971125,0.0,15.0000000000001 
 01/21  01:30:00,-17.3,0.0,0.0,0.0,0.0,705.763389993164,2.51303571690812,-11.4677335528529,1.,1345.30969847541,0.0,15.0000000000003,2576.6684217491,0.0,15.0000000000004,4502.68578963656,0.0,15.0000000000008 
 01/21  01:40:00,-17.3,0.0,0.0,0.0,0.0,704.283670319672,2.47300186001081,-11.4836664338463,1.,1383.6923897428,0.0,15.,2604.05048271481,0.0,15.,4528.48666069185,0.0,15.0000000000001 
