Time,SPACE1-1:DENVER CENTENNIAL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE1-1:DENVER CENTENNIAL ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE1-1:DENVER CENTENNIAL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE1-1:DENVER CENTENNIAL ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.161645E+03,0.000000E+00,1.941300E-01,0.000000E+00 
00:30:00,2.163243E+03,0.000000E+00,1.942736E-01,0.000000E+00 
00:45:00,2.164647E+03,0.000000E+00,1.943997E-01,0.000000E+00 
01:00:00,2.165886E+03,0.000000E+00,1.945109E-01,0.000000E+00 
01:15:00,2.166993E+03,0.000000E+00,1.946103E-01,0.000000E+00 
01:30:00,2.167983E+03,0.000000E+00,1.946992E-01,0.000000E+00 
01:45:00,2.168876E+03,0.000000E+00,1.947794E-01,0.000000E+00 
02:00:00,2.169688E+03,0.000000E+00,1.948524E-01,0.000000E+00 
02:15:00,2.170433E+03,0.000000E+00,1.949193E-01,0.000000E+00 
02:30:00,2.171122E+03,0.000000E+00,1.949812E-01,0.000000E+00 
02:45:00,2.171766E+03,0.000000E+00,1.950390E-01,0.000000E+00 
03:00:00,2.172370E+03,0.000000E+00,1.950933E-01,0.000000E+00 
03:15:00,2.172942E+03,0.000000E+00,1.951447E-01,0.000000E+00 
03:30:00,2.173487E+03,0.000000E+00,1.951936E-01,0.000000E+00 
03:45:00,2.174009E+03,0.000000E+00,1.952405E-01,0.000000E+00 
04:00:00,2.174511E+03,0.000000E+00,1.952856E-01,0.000000E+00 
04:15:00,2.174997E+03,0.000000E+00,1.953292E-01,0.000000E+00 
04:30:00,2.175467E+03,0.000000E+00,1.953714E-01,0.000000E+00 
04:45:00,2.175925E+03,0.000000E+00,1.954125E-01,0.000000E+00 
05:00:00,2.176371E+03,0.000000E+00,1.954526E-01,0.000000E+00 
05:15:00,2.176807E+03,0.000000E+00,1.954918E-01,0.000000E+00 
05:30:00,2.177234E+03,0.000000E+00,1.955301E-01,0.000000E+00 
05:45:00,2.177653E+03,0.000000E+00,1.955677E-01,0.000000E+00 
06:00:00,2.178064E+03,0.000000E+00,1.956046E-01,0.000000E+00 
06:15:00,2.178468E+03,0.000000E+00,1.956409E-01,0.000000E+00 
06:30:00,2.178866E+03,0.000000E+00,1.956766E-01,0.000000E+00 
06:45:00,2.179257E+03,0.000000E+00,1.957117E-01,0.000000E+00 
07:00:00,2.179642E+03,0.000000E+00,1.957463E-01,0.000000E+00 
07:15:00,8.014105E+03,0.000000E+00,9.553090E-01,0.000000E+00 
07:30:00,7.871124E+03,0.000000E+00,9.857785E-01,0.000000E+00 
07:45:00,1.033474E+04,0.000000E+00,1.531256E+00,0.000000E+00 
08:00:00,1.201644E+04,0.000000E+00,1.922256E+00,0.000000E+00 
08:15:00,7.744738E+03,0.000000E+00,1.530164E+00,0.000000E+00 
08:30:00,9.386205E+03,0.000000E+00,1.854476E+00,0.000000E+00 
08:45:00,8.378984E+03,0.000000E+00,1.655475E+00,0.000000E+00 
09:00:00,8.125387E+03,0.000000E+00,1.605370E+00,0.000000E+00 
09:15:00,7.948321E+03,0.000000E+00,1.570386E+00,0.000000E+00 
09:30:00,7.815912E+03,0.000000E+00,1.544226E+00,0.000000E+00 
09:45:00,7.712802E+03,0.000000E+00,1.523854E+00,0.000000E+00 
10:00:00,7.628694E+03,0.000000E+00,1.507236E+00,0.000000E+00 
10:15:00,7.579012E+03,0.000000E+00,1.497420E+00,0.000000E+00 
10:30:00,7.543211E+03,0.000000E+00,1.490347E+00,0.000000E+00 
10:45:00,7.515840E+03,0.000000E+00,1.484939E+00,0.000000E+00 
11:00:00,7.494328E+03,0.000000E+00,1.480689E+00,0.000000E+00 
11:15:00,7.477102E+03,0.000000E+00,1.477285E+00,0.000000E+00 
11:30:00,7.463087E+03,0.000000E+00,1.474517E+00,0.000000E+00 
11:45:00,7.451502E+03,0.000000E+00,1.472228E+00,0.000000E+00 
12:00:00,7.441867E+03,0.000000E+00,1.470324E+00,0.000000E+00 
12:15:00,7.436369E+03,0.000000E+00,1.469238E+00,0.000000E+00 
12:30:00,7.432655E+03,0.000000E+00,1.468504E+00,0.000000E+00 
12:45:00,7.430298E+03,0.000000E+00,1.468038E+00,0.000000E+00 
13:00:00,7.428828E+03,0.000000E+00,1.467748E+00,0.000000E+00 
13:15:00,7.430456E+03,0.000000E+00,1.468069E+00,0.000000E+00 
13:30:00,7.433172E+03,1.923762E+01,1.468606E+00,1.898006E-03 
13:45:00,7.436405E+03,6.214726E+01,1.469245E+00,6.110072E-03 
14:00:00,7.440084E+03,8.873856E+01,1.469972E+00,8.720399E-03 
14:15:00,7.437740E+03,1.251844E+02,1.469509E+00,1.229798E-02 
14:30:00,7.434254E+03,1.424638E+02,1.468820E+00,1.398461E-02 
14:45:00,7.430316E+03,1.354341E+02,1.468042E+00,1.329464E-02 
15:00:00,7.426068E+03,1.429343E+02,1.467203E+00,1.403084E-02 
15:15:00,7.421590E+03,1.393922E+02,1.466318E+00,1.368319E-02 
15:30:00,7.417002E+03,1.319453E+02,1.465411E+00,1.295216E-02 
15:45:00,7.412351E+03,1.204855E+02,1.464492E+00,1.182719E-02 
16:00:00,7.407655E+03,1.054891E+02,1.463565E+00,1.035506E-02 
16:15:00,7.405624E+03,7.258541E+01,1.463163E+00,7.125129E-03 
16:30:00,7.404114E+03,4.351517E+01,1.462865E+00,4.271517E-03 
16:45:00,7.402837E+03,1.909506E+01,1.462613E+00,1.874392E-03 
17:00:00,7.401748E+03,0.000000E+00,1.462398E+00,0.000000E+00 
17:15:00,5.550918E+03,0.000000E+00,1.096721E+00,0.000000E+00 
17:30:00,3.700373E+03,0.000000E+00,7.310997E-01,0.000000E+00 
17:45:00,1.850075E+03,0.000000E+00,3.655280E-01,0.000000E+00 
18:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
18:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
18:30:00,4.739267E+01,0.000000E+00,4.393221E-03,0.000000E+00 
18:45:00,3.399969E+02,0.000000E+00,3.067533E-02,0.000000E+00 
19:00:00,7.655721E+02,0.000000E+00,6.889497E-02,0.000000E+00 
19:15:00,1.175914E+03,0.000000E+00,1.057464E-01,0.000000E+00 
19:30:00,1.587442E+03,0.000000E+00,1.425673E-01,0.000000E+00 
19:45:00,1.773584E+03,0.000000E+00,1.592798E-01,0.000000E+00 
20:00:00,1.841298E+03,0.000000E+00,1.653608E-01,0.000000E+00 
20:15:00,1.935089E+03,0.000000E+00,1.737838E-01,0.000000E+00 
20:30:00,1.988367E+03,0.000000E+00,1.785686E-01,0.000000E+00 
20:45:00,2.028039E+03,0.000000E+00,1.821314E-01,0.000000E+00 
21:00:00,2.058019E+03,0.000000E+00,1.848238E-01,0.000000E+00 
21:15:00,2.080948E+03,0.000000E+00,1.868830E-01,0.000000E+00 
21:30:00,2.098804E+03,0.000000E+00,1.884866E-01,0.000000E+00 
21:45:00,2.112812E+03,0.000000E+00,1.897446E-01,0.000000E+00 
22:00:00,2.123867E+03,0.000000E+00,1.907373E-01,0.000000E+00 
22:15:00,2.132568E+03,0.000000E+00,1.915188E-01,0.000000E+00 
22:30:00,2.139466E+03,0.000000E+00,1.921383E-01,0.000000E+00 
